생년월일,목,화,토,금,수
1918812,1,1,1,3,0
1918813,0,1,2,2,1
1918814,0,2,1,2,1
1918815,1,2,1,2,0
1918816,1,1,2,2,0
1918817,0,2,1,3,0
1918818,0,2,1,3,0
1918819,0,1,3,2,0
1918820,0,1,2,2,1
1918821,0,1,1,3,1
1918822,0,1,2,3,0
1918823,1,1,1,2,1
1918824,1,1,1,2,1
1918825,1,1,2,2,0
1918826,1,2,1,2,0
1918827,0,3,1,2,0
1918828,0,2,2,2,0
1918829,0,1,2,3,0
1918830,0,1,2,3,0
191891,0,1,1,3,1
191892,0,1,1,2,2
191893,0,1,2,2,1
191894,2,1,1,2,0
191895,2,1,1,2,0
191896,0,2,2,2,0
191897,0,3,1,2,0
191898,0,2,2,2,0
191899,0,1,3,2,0
1918910,0,1,1,4,0
1918911,0,1,1,4,0
1918912,0,1,2,2,1
1918913,0,1,1,2,2
1918914,1,1,1,2,1
1918915,1,1,2,2,0
1918916,1,2,1,2,0
1918917,1,2,1,2,0
1918918,0,1,3,2,0
1918919,0,2,2,2,0
1918920,0,2,1,3,0
1918921,0,1,2,3,0
1918922,0,1,1,3,1
1918923,0,1,1,3,1
1918924,1,1,2,2,0
1918925,1,1,1,2,1
1918926,0,2,1,2,1
1918927,0,2,2,2,0
1918928,1,1,2,2,0
1918929,1,1,2,2,0
1918930,0,1,2,3,0
1918101,0,2,1,3,0
1918102,0,2,1,2,1
1918103,0,1,2,2,1
1918104,1,1,1,3,0
1918105,1,1,1,3,0
1918106,0,2,2,2,0
1918107,0,2,1,2,1
1918108,0,1,2,2,1
1918109,0,1,3,2,0
19181010,1,1,2,1,1
19181011,1,1,2,1,1
19181012,0,1,3,0,2
19181013,0,2,2,0,2
19181014,1,2,2,0,1
19181015,1,1,3,0,1
19181016,0,2,2,1,1
19181017,0,2,2,1,1
19181018,0,1,4,0,1
19181019,0,1,3,0,2
19181020,0,1,2,1,2
19181021,0,1,3,1,1
19181022,1,1,2,0,2
19181023,1,1,2,0,2
19181024,1,1,3,0,1
19181025,1,2,2,0,1
19181026,0,3,2,0,1
19181027,0,2,3,0,1
19181028,0,1,3,1,1
19181029,0,1,3,1,1
19181030,0,1,3,1,1
1918111,0,1,2,0,3
1918112,0,1,3,0,2
1918113,2,1,2,0,1
1918114,2,1,2,0,1
1918115,0,2,3,0,1
1918116,0,3,2,0,1
1918117,0,2,3,0,1
1918118,0,1,4,0,1
1918119,0,1,1,2,2
19181110,0,1,1,2,2
19181111,0,1,2,0,3
19181112,0,1,1,0,4
19181113,1,1,1,0,3
19181114,1,1,2,0,2
19181115,1,2,1,0,2
19181116,1,2,1,0,2
19181117,0,1,3,0,2
19181118,0,2,2,0,2
19181119,0,2,1,1,2
19181120,0,1,2,1,2
19181121,0,1,1,1,3
19181122,0,1,1,1,3
19181123,1,1,2,0,2
19181124,1,1,1,0,3
19181125,0,2,1,0,3
19181126,0,2,2,0,2
19181127,1,1,2,0,2
19181128,1,1,2,0,2
19181129,0,1,2,1,2
19181130,0,2,1,1,2
1918121,0,2,1,0,3
1918122,0,1,2,0,3
1918123,1,1,1,1,2
1918124,1,1,1,1,2
1918125,0,2,2,0,2
1918126,0,2,1,0,3
1918127,0,1,2,0,3
1918128,0,1,3,0,2
1918129,2,1,1,1,1
19181210,2,1,1,1,1
19181211,1,1,2,0,2
19181212,1,2,1,0,2
19181213,2,2,1,0,1
19181214,2,1,2,0,1
19181215,1,2,1,1,1
19181216,1,2,1,1,1
19181217,1,1,3,0,1
19181218,1,1,2,0,2
19181219,1,1,1,1,2
19181220,1,1,2,1,1
19181221,2,1,1,0,2
19181222,2,1,1,0,2
19181223,2,1,2,0,1
19181224,2,2,1,0,1
19181225,1,3,1,0,1
19181226,1,2,2,0,1
19181227,1,1,2,1,1
19181228,1,1,2,1,1
19181229,1,1,2,1,1
19181230,1,1,1,1,2
191911,1,1,2,0,2
191912,3,1,1,0,1
191913,3,1,1,0,1
191914,1,2,2,0,1
191915,1,3,1,0,1
191916,1,2,2,0,1
191917,1,1,4,0,0
191918,1,1,2,2,0
191919,1,1,2,2,0
1919110,1,1,3,0,1
1919111,1,1,2,0,2
1919112,2,1,2,0,1
1919113,2,1,3,0,0
1919114,2,2,2,0,0
1919115,2,2,2,0,0
1919116,1,1,4,0,0
1919117,1,2,3,0,0
1919118,1,2,2,1,0
1919119,1,1,3,1,0
1919120,1,1,2,1,1
1919121,1,1,2,1,1
1919122,2,1,3,0,0
1919123,2,1,2,0,1
1919124,1,2,2,0,1
1919125,1,2,3,0,0
1919126,2,1,3,0,0
1919127,2,1,3,0,0
1919128,1,1,3,1,0
1919129,1,2,2,1,0
1919130,1,2,2,0,1
191921,2,1,2,1,0
191922,2,1,2,1,0
191923,1,2,3,0,0
191924,1,2,2,0,1
191925,1,1,3,0,1
191926,1,1,4,0,0
191927,2,1,2,1,0
191928,2,1,2,1,0
191929,1,1,3,0,1
1919210,1,2,2,0,1
1919211,2,2,2,0,0
1919212,2,1,3,0,0
1919213,1,2,2,1,0
1919214,1,2,2,1,0
1919215,1,1,4,0,0
1919216,1,1,3,0,1
1919217,1,1,2,1,1
1919218,1,1,3,1,0
1919219,2,1,2,0,1
1919220,2,1,2,0,1
1919221,2,1,3,0,0
1919222,2,2,2,0,0
1919223,1,3,2,0,0
1919224,1,2,3,0,0
1919225,1,1,3,1,0
1919226,1,1,3,1,0
1919227,1,1,3,1,0
1919228,1,1,2,1,1
191931,1,1,2,0,2
191932,1,1,3,0,1
191933,3,1,2,0,0
191934,3,1,2,0,0
191935,1,2,3,0,0
191936,1,3,2,0,0
191937,1,2,3,0,0
191938,1,1,4,0,0
191939,1,1,2,2,0
1919310,1,1,2,2,0
1919311,1,1,3,0,1
1919312,1,1,2,0,2
1919313,2,1,2,0,1
1919314,2,1,3,0,0
1919315,2,2,2,0,0
1919316,2,2,2,0,0
1919317,1,1,4,0,0
1919318,1,2,3,0,0
1919319,1,2,2,1,0
1919320,1,1,3,1,0
1919321,1,1,2,1,1
1919322,1,1,2,1,1
1919323,2,1,3,0,0
1919324,2,1,2,0,1
1919325,1,2,2,0,1
1919326,1,2,3,0,0
1919327,2,1,3,0,0
1919328,2,1,3,0,0
1919329,1,1,3,1,0
1919330,1,2,2,1,0
191941,1,1,3,0,1
191942,2,1,2,1,0
191943,2,1,2,1,0
191944,1,2,3,0,0
191945,1,2,2,0,1
191946,1,1,3,0,1
191947,0,0,6,0,0
191948,1,0,4,1,0
191949,1,0,4,1,0
1919410,0,0,5,0,1
1919411,0,1,4,0,1
1919412,1,1,4,0,0
1919413,1,0,5,0,0
1919414,0,1,4,1,0
1919415,0,1,4,1,0
1919416,0,0,6,0,0
1919417,0,0,5,0,1
1919418,0,0,4,1,1
1919419,0,0,5,1,0
1919420,1,0,4,0,1
1919421,1,0,4,0,1
1919422,1,0,5,0,0
1919423,1,1,4,0,0
1919424,0,2,4,0,0
1919425,0,1,5,0,0
1919426,0,0,5,1,0
1919427,0,0,5,1,0
1919428,0,0,5,1,0
1919429,0,0,4,1,1
1919430,0,0,4,0,2
191951,0,0,5,0,1
191952,2,0,4,0,0
191953,2,0,4,0,0
191954,0,1,5,0,0
191955,0,2,4,0,0
191956,0,1,5,0,0
191957,0,1,5,0,0
191958,0,1,3,2,0
191959,0,1,3,2,0
1919510,0,1,4,0,1
1919511,0,1,3,0,2
1919512,1,1,3,0,1
1919513,1,1,4,0,0
1919514,1,2,3,0,0
1919515,1,2,3,0,0
1919516,0,1,5,0,0
1919517,0,2,4,0,0
1919518,0,2,3,1,0
1919519,0,1,4,1,0
1919520,0,1,3,1,1
1919521,0,1,3,1,1
1919522,1,1,4,0,0
1919523,1,1,3,0,1
1919524,0,2,3,0,1
1919525,0,2,4,0,0
1919526,1,1,4,0,0
1919527,1,1,4,0,0
1919528,0,1,4,1,0
1919529,0,2,3,1,0
1919530,0,2,3,0,1
191961,1,1,3,1,0
191962,1,1,3,1,0
191963,0,2,4,0,0
191964,0,2,3,0,1
191965,0,1,4,0,1
191966,0,1,5,0,0
191967,1,1,3,1,0
191968,1,1,2,2,0
191969,0,1,3,1,1
1919610,0,2,2,1,1
1919611,1,2,2,1,0
1919612,1,1,3,1,0
1919613,0,2,2,2,0
1919614,0,2,2,2,0
1919615,0,1,4,1,0
1919616,0,1,3,1,1
1919617,0,1,2,2,1
1919618,0,1,3,2,0
1919619,1,1,2,1,1
1919620,1,1,2,1,1
1919621,1,1,3,1,0
1919622,1,2,2,1,0
1919623,0,3,2,1,0
1919624,0,2,3,1,0
1919625,0,1,3,2,0
1919626,0,1,3,2,0
1919627,0,1,3,2,0
1919628,0,1,2,2,1
1919629,0,1,2,1,2
1919630,0,1,3,1,1
191971,2,1,2,1,0
191972,2,1,2,1,0
191973,0,2,3,1,0
191974,0,3,2,1,0
191975,0,2,3,1,0
191976,0,1,4,1,0
191977,0,1,2,3,0
191978,0,1,2,3,0
191979,0,0,4,1,1
1919710,0,0,3,1,2
1919711,1,0,3,1,1
1919712,1,0,4,1,0
1919713,1,1,3,1,0
1919714,1,1,3,1,0
1919715,0,0,5,1,0
1919716,0,1,4,1,0
1919717,0,1,3,2,0
1919718,0,0,4,2,0
1919719,0,0,3,2,1
1919720,0,0,3,2,1
1919721,1,0,4,1,0
1919722,1,0,3,1,1
1919723,0,1,3,1,1
1919724,0,1,4,1,0
1919725,1,0,4,1,0
1919726,1,0,4,1,0
1919727,0,0,4,2,0
1919728,0,1,3,2,0
1919729,0,1,3,1,1
1919730,0,0,4,1,1
191981,1,0,3,2,0
191982,0,1,4,1,0
191983,0,1,3,1,1
191984,0,0,4,1,1
191985,0,0,5,1,0
191986,1,0,3,2,0
191987,1,0,3,2,0
191988,0,0,4,1,1
191989,0,1,2,1,2
1919810,1,1,2,1,1
1919811,1,0,3,1,1
1919812,0,1,2,2,1
1919813,0,1,2,2,1
1919814,0,0,4,1,1
1919815,0,0,3,1,2
1919816,0,0,2,2,2
1919817,0,0,3,2,1
1919818,1,0,2,1,2
1919819,1,0,2,1,2
1919820,1,0,3,1,1
1919821,1,1,2,1,1
1919822,0,2,2,1,1
1919823,0,1,3,1,1
1919824,0,0,3,2,1
1919825,0,0,3,2,1
1919826,0,0,3,2,1
1919827,0,0,2,2,2
1919828,0,0,2,1,3
1919829,0,0,3,1,2
1919830,2,0,2,1,1
191991,0,1,3,1,1
191992,0,2,2,1,1
191993,0,1,3,1,1
191994,0,0,4,1,1
191995,0,0,2,3,1
191996,0,0,2,3,1
191997,0,0,3,1,2
191998,0,0,2,1,3
191999,1,0,2,1,2
1919910,1,0,3,1,1
1919911,1,1,2,1,1
1919912,1,1,2,1,1
1919913,0,0,4,1,1
1919914,0,1,3,1,1
1919915,0,1,2,2,1
1919916,0,0,3,2,1
1919917,0,0,2,2,2
1919918,0,0,2,2,2
1919919,1,0,3,1,1
1919920,1,0,2,1,2
1919921,0,1,2,1,2
1919922,0,1,3,1,1
1919923,1,0,3,1,1
1919924,1,0,3,1,1
1919925,0,0,3,2,1
1919926,0,1,2,2,1
1919927,0,1,2,1,2
1919928,0,0,3,1,2
1919929,1,0,2,2,1
1919930,1,0,2,2,1
1919101,0,1,3,1,1
1919102,0,1,2,1,2
1919103,0,0,3,1,2
1919104,0,0,4,1,1
1919105,1,0,2,2,1
1919106,1,0,2,2,1
1919107,0,0,3,1,2
1919108,0,1,2,1,2
1919109,1,1,2,1,1
19191010,2,0,4,0,0
19191011,1,1,3,1,0
19191012,1,1,3,1,0
19191013,1,0,5,0,0
19191014,1,0,4,0,1
19191015,1,0,3,1,1
19191016,1,0,4,1,0
19191017,2,0,3,0,1
19191018,2,0,3,0,1
19191019,2,0,4,0,0
19191020,2,1,3,0,0
19191021,1,2,3,0,0
19191022,1,1,4,0,0
19191023,1,0,4,1,0
19191024,1,0,4,1,0
19191025,1,0,4,1,0
19191026,1,0,3,1,1
19191027,1,0,3,0,2
19191028,1,0,4,0,1
19191029,3,0,3,0,0
19191030,3,0,3,0,0
1919111,1,2,3,0,0
1919112,1,1,4,0,0
1919113,1,0,5,0,0
1919114,1,0,3,2,0
1919115,1,0,3,2,0
1919116,1,0,4,0,1
1919117,1,0,3,0,2
1919118,2,0,3,0,1
1919119,2,0,3,0,1
19191110,2,1,2,0,1
19191111,2,1,2,0,1
19191112,1,0,4,0,1
19191113,1,1,3,0,1
19191114,1,1,2,1,1
19191115,1,0,3,1,1
19191116,1,0,2,1,2
19191117,1,0,2,1,2
19191118,2,0,3,0,1
19191119,2,0,2,0,2
19191120,1,1,2,0,2
19191121,1,1,3,0,1
19191122,2,0,3,0,1
19191123,2,0,3,0,1
19191124,1,0,3,1,1
19191125,1,1,2,1,1
19191126,1,1,2,0,2
19191127,1,0,3,0,2
19191128,2,0,2,1,1
19191129,2,0,2,1,1
19191130,1,1,3,0,1
1919121,1,1,2,0,2
1919122,1,0,3,0,2
1919123,1,0,4,0,1
1919124,2,0,2,1,1
1919125,2,0,2,1,1
1919126,1,0,3,0,2
1919127,1,1,2,0,2
1919128,2,1,2,0,1
1919129,1,1,3,0,1
19191210,0,2,2,1,1
19191211,0,2,2,1,1
19191212,0,1,4,0,1
19191213,0,1,3,0,2
19191214,0,1,2,1,2
19191215,0,1,3,1,1
19191216,1,1,2,0,2
19191217,1,1,2,0,2
19191218,1,1,3,0,1
19191219,1,2,2,0,1
19191220,0,3,2,0,1
19191221,0,2,3,0,1
19191222,0,1,3,1,1
19191223,0,1,3,1,1
19191224,0,1,3,1,1
19191225,0,1,2,1,2
19191226,0,1,2,0,3
19191227,0,1,3,0,2
19191228,2,1,2,0,1
19191229,2,1,2,0,1
19191230,0,2,3,0,1
192011,0,2,3,0,1
192012,0,1,4,0,1
192013,0,1,2,2,1
192014,0,1,2,2,1
192015,0,1,3,0,2
192016,0,1,3,0,2
192017,1,1,2,0,2
192018,1,1,4,0,0
192019,1,2,3,0,0
1920110,1,2,3,0,0
1920111,0,1,5,0,0
1920112,0,2,4,0,0
1920113,0,2,3,1,0
1920114,0,1,4,1,0
1920115,0,1,3,1,1
1920116,0,1,3,1,1
1920117,1,1,4,0,0
1920118,1,1,3,0,1
1920119,0,2,3,0,1
1920120,0,2,4,0,0
1920121,1,1,4,0,0
1920122,1,1,4,0,0
1920123,0,1,4,1,0
1920124,0,2,3,1,0
1920125,0,2,3,0,1
1920126,0,1,4,0,1
1920127,1,1,3,1,0
1920128,1,1,3,1,0
1920129,0,2,4,0,0
1920130,0,2,3,0,1
192021,0,1,5,0,0
192022,1,1,3,1,0
192023,1,1,3,1,0
192024,0,1,4,0,1
192025,0,2,3,0,1
192026,2,1,1,2,0
192027,2,0,2,2,0
192028,1,1,1,3,0
192029,1,1,1,3,0
1920210,1,0,3,2,0
1920211,1,0,2,2,1
1920212,1,0,1,3,1
1920213,1,0,2,3,0
1920214,2,0,1,2,1
1920215,2,0,1,2,1
1920216,2,0,2,2,0
1920217,2,1,1,2,0
1920218,1,2,1,2,0
1920219,1,1,2,2,0
1920220,1,0,2,3,0
1920221,1,0,2,3,0
1920222,1,0,2,3,0
1920223,1,0,1,3,1
1920224,1,0,1,2,2
1920225,1,0,2,2,1
1920226,3,0,1,2,0
1920227,3,0,1,2,0
1920228,1,1,2,2,0
1920229,1,2,1,2,0
192031,1,1,2,2,0
192032,1,0,3,2,0
192033,1,0,1,4,0
192034,1,0,1,4,0
192035,1,0,2,2,1
192036,1,0,1,2,2
192037,2,0,1,2,1
192038,2,0,2,2,0
192039,2,1,1,2,0
1920310,2,1,1,2,0
1920311,1,0,3,2,0
1920312,1,1,2,2,0
1920313,1,1,1,3,0
1920314,1,0,2,3,0
1920315,1,0,1,3,1
1920316,1,0,1,3,1
1920317,2,0,2,2,0
1920318,2,0,1,2,1
1920319,1,1,1,2,1
1920320,1,1,2,2,0
1920321,2,0,2,2,0
1920322,2,0,2,2,0
1920323,1,0,2,3,0
1920324,1,1,1,3,0
1920325,1,1,1,2,1
1920326,1,0,2,2,1
1920327,2,0,1,3,0
1920328,2,0,1,3,0
1920329,1,1,2,2,0
1920330,1,1,1,2,1
192041,1,0,3,2,0
192042,2,0,1,3,0
192043,2,0,1,3,0
192044,1,0,2,2,1
192045,1,1,1,2,1
192046,1,1,1,3,0
192047,1,0,2,3,0
192048,0,1,1,4,0
192049,0,1,1,4,0
1920410,0,0,3,3,0
1920411,0,0,2,3,1
1920412,0,0,1,4,1
1920413,0,0,2,4,0
1920414,1,0,1,3,1
1920415,1,0,1,3,1
1920416,1,0,2,3,0
1920417,1,1,1,3,0
1920418,0,2,1,3,0
1920419,0,1,2,3,0
1920420,0,0,2,4,0
1920421,0,0,2,4,0
1920422,0,0,2,4,0
1920423,0,0,1,4,1
1920424,0,0,1,3,2
1920425,0,0,2,3,1
1920426,2,0,1,3,0
1920427,2,0,1,3,0
1920428,0,1,2,3,0
1920429,0,2,1,3,0
1920430,0,1,2,3,0
192051,0,0,3,3,0
192052,0,0,1,5,0
192053,0,0,1,5,0
192054,0,0,2,3,1
192055,0,0,1,3,2
192056,1,0,1,3,1
192057,1,1,1,3,0
192058,1,2,0,3,0
192059,1,2,0,3,0
1920510,0,1,2,3,0
1920511,0,2,1,3,0
1920512,0,2,0,4,0
1920513,0,1,1,4,0
1920514,0,1,0,4,1
1920515,0,1,0,4,1
1920516,1,1,1,3,0
1920517,1,1,0,3,1
1920518,0,2,0,3,1
1920519,0,2,1,3,0
1920520,1,1,1,3,0
1920521,1,1,1,3,0
1920522,0,1,1,4,0
1920523,0,2,0,4,0
1920524,0,2,0,3,1
1920525,0,1,1,3,1
1920526,1,1,0,4,0
1920527,1,1,0,4,0
1920528,0,2,1,3,0
1920529,0,2,0,3,1
1920530,0,1,1,3,1
192061,1,1,0,4,0
192062,1,1,0,4,0
192063,0,1,1,3,1
192064,0,2,0,3,1
192065,1,2,0,3,0
192066,1,1,1,3,0
192067,0,2,0,3,1
192068,0,2,0,3,1
192069,0,1,2,2,1
1920610,0,1,1,2,2
1920611,0,1,0,3,2
1920612,0,1,1,3,1
1920613,1,1,0,2,2
1920614,1,1,0,2,2
1920615,1,1,1,2,1
1920616,1,2,0,2,1
1920617,0,3,0,2,1
1920618,0,2,1,2,1
1920619,0,1,1,3,1
1920620,0,1,1,3,1
1920621,0,1,1,3,1
1920622,0,1,0,3,2
1920623,0,1,0,2,3
1920624,0,1,1,2,2
1920625,2,1,0,2,1
1920626,2,1,0,2,1
1920627,0,2,1,2,1
1920628,0,3,0,2,1
1920629,0,2,1,2,1
1920630,0,1,2,2,1
192071,0,1,0,4,1
192072,0,1,0,4,1
192073,0,1,1,2,2
192074,0,1,0,2,3
192075,1,1,0,2,2
192076,1,1,1,2,1
192077,1,2,0,2,1
192078,1,1,1,2,1
192079,0,0,3,2,1
1920710,0,1,2,2,1
1920711,0,1,1,3,1
1920712,0,0,2,3,1
1920713,0,0,1,3,2
1920714,0,0,1,3,2
1920715,1,0,2,2,1
1920716,1,0,1,2,2
1920717,0,1,1,2,2
1920718,0,1,2,2,1
1920719,1,0,2,2,1
1920720,1,0,2,2,1
1920721,0,0,2,3,1
1920722,0,1,1,3,1
1920723,0,1,1,2,2
1920724,0,0,2,2,2
1920725,1,0,1,3,1
1920726,1,0,1,3,1
1920727,0,1,2,2,1
1920728,0,1,1,2,2
1920729,0,0,2,2,2
1920730,0,0,3,2,1
192081,1,0,1,3,1
192082,0,0,2,2,2
192083,0,1,1,2,2
192084,1,1,1,2,1
192085,1,0,2,2,1
192086,0,1,1,3,1
192087,0,1,1,3,1
192088,0,0,3,2,1
192089,1,0,1,3,1
1920810,1,0,0,4,1
1920811,1,0,1,4,0
1920812,2,0,0,3,1
1920813,2,0,0,3,1
1920814,2,0,1,3,0
1920815,2,1,0,3,0
1920816,1,2,0,3,0
1920817,1,1,1,3,0
1920818,1,0,1,4,0
1920819,1,0,1,4,0
1920820,1,0,1,4,0
1920821,1,0,0,4,1
1920822,1,0,0,3,2
1920823,1,0,1,3,1
1920824,3,0,0,3,0
1920825,3,0,0,3,0
1920826,1,1,1,3,0
1920827,1,2,0,3,0
1920828,1,1,1,3,0
1920829,1,0,2,3,0
1920830,1,0,0,5,0
192091,1,0,1,3,1
192092,1,0,0,3,2
192093,2,0,0,3,1
192094,2,0,1,3,0
192095,2,1,0,3,0
192096,2,1,0,3,0
192097,1,0,2,3,0
192098,1,1,1,3,0
192099,1,1,0,4,0
1920910,1,0,1,4,0
1920911,1,0,0,4,1
1920912,1,0,0,4,1
1920913,2,0,1,3,0
1920914,2,0,0,3,1
1920915,1,1,0,3,1
1920916,1,1,1,3,0
1920917,2,0,1,3,0
1920918,2,0,1,3,0
1920919,1,0,1,4,0
1920920,1,1,0,4,0
1920921,1,1,0,3,1
1920922,1,0,1,3,1
1920923,2,0,0,4,0
1920924,2,0,0,4,0
1920925,1,1,1,3,0
1920926,1,1,0,3,1
1920927,1,0,1,3,1
1920928,1,0,2,3,0
1920929,2,0,0,4,0
1920930,2,0,0,4,0
1920101,1,0,1,3,1
1920102,1,1,0,3,1
1920103,2,1,0,3,0
1920104,2,0,1,3,0
1920105,1,1,0,4,0
1920106,1,1,0,4,0
1920107,1,0,2,3,0
1920108,1,0,1,3,1
1920109,0,1,1,3,1
19201010,0,1,2,3,0
19201011,1,1,1,2,1
19201012,1,1,1,2,1
19201013,1,1,2,2,0
19201014,1,2,1,2,0
19201015,0,3,1,2,0
19201016,0,2,2,2,0
19201017,0,1,2,3,0
19201018,0,1,2,3,0
19201019,0,1,2,3,0
19201020,0,1,1,3,1
19201021,0,1,1,2,2
19201022,0,1,2,2,1
19201023,2,1,1,2,0
19201024,2,1,1,2,0
19201025,0,2,2,2,0
19201026,0,3,1,2,0
19201027,0,2,2,2,0
19201028,0,1,3,2,0
19201029,0,1,1,4,0
19201030,0,1,1,4,0
1920111,0,1,1,2,2
