Mcd,KorName
A032000,보이디이질균에 의한 시겔라증
A032001,C군 시겔라증
A033,소네이이질균에 의한 시겔라증
A033000,소네이이질균에 의한 시겔라증
A033001,D군 시겔라증
A038,기타 시겔라증
A038000,기타 시겔라증
A039,상세불명의 시겔라증
A039000,상세불명의 시겔라증
A039001,세균이질 NOS
A04,기타 세균성 장 감염
A040,장 병원성 대장균 감염
A040000,장 병원성 대장균 감염
A041,장 독소생산 대장균 감염
A041000,장 독소생산 대장균 감염
A042,장 침투성 대장균 감염
A042000,장 침투성 대장균 감염
A043,장 출혈성 대장균 감염
A043000,장 출혈성 대장균 감염
A044,기타 장 대장균 감염
A044000,기타 장 대장균 감염
A044001,대장균 장염 NOS
A045,캄필로박터 장염
A045000,캄필로박터 장염
A046,예르시니아 엔테로콜리티카에 의한 장염
A046000,예르시니아 엔테로콜리티카에 의한 장염
A047,클로스트리듐 디피실리에 의한 장결장염
A047000,클로스트리듐 디피실리에 의한 장결장염
A047001,클로스트리듐 디피실리에 의한 식중독
A047002,거짓막성 결장염
A047003,클로스트리듐 디피실리에 의한 설사
A048,기타 명시된 세균성 장 감염
A048000,기타 명시된 세균성 장 감염
A049,상세불명의 세균성 장 감염
A049000,상세불명의 세균성 장 감염
A049001,세균성 장염 NOS
A05,달리 분류되지 않는 기타 세균성 음식매개중독 NEC
A050,음식매개 포도구균중독
A050000,음식매개 포도구균중독
A051,보틀리눔중독
A051000,보틀리눔중독
A051001,클로스트리듐 보톨리눔에 의한 고전적 식중독
A052,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독
A052000,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독
A052001,괴사성 장염
A053,장염비브리오균에 의한 식중독
A053000,장염비브리오균에 의한 식중독
A054,바실루스 세레우스에 의한 식중독
A054000,바실루스 세레우스에 의한 식중독
A058,기타 명시된 세균성 식중독
A058000,기타 명시된 세균성 식중독
A059,상세불명의 세균성 식중독
A059000,상세불명의 세균성 식중독
A06,아메바증
A060,급성 아메바이질
A060000,급성 아메바이질
A060001,급성 아메바증
A060002,장아메바증 NOS
A061,만성 장아메바증
A061000,만성 장아메바증
A062,아메바성 비이질성 결장염
A062000,아메바성 비이질성 결장염
A063,장의 아메바종
A063000,장의 아메바종
A063001,아메바종 NOS
A064,아메바성 간농양(K77.0*)
A064000,아메바성 간농양(K77.0*)
A064001,간아메바증(K77.0*)
A065,아메바성 폐농양(J99.8*)
A065000,아메바성 폐농양(J99.8*)
A065001,폐(및 간)의 아메바성 농양(J99.8*)
A066,아메바성 뇌농양(G07*)
A066000,아메바성 뇌농양(G07*)
A066001,"뇌(및 간, 및 폐)의 아메바성 농양(G07*)"
A067,피부아메바증
A067000,피부아메바증
A068,기타 부위의 아메바 감염
A068000,기타 부위의 아메바 감염
A305001,LL나병
A068001,아메바귀두염(N51.2*)
A068002,아메바성 충수염
A069,상세불명의 아메바증
A069000,상세불명의 아메바증
A07,기타 원충성 장 질환
A070,대장섬모충증
A070000,대장섬모충증
A070001,대장섬모충이질
A071,편모충증[람블편모충증]
A071000,편모충증[람블편모충증]
A072,와포자충증
A072000,와포자충증
A073,등포자충증
A073000,등포자충증
A073001,아이소스포라 벨리와 아이소스포라 호미니스에 의한 감염
A073002,호미니스에 의한 감염
A073003,등포자충증
A078,기타 명시된 원충성 장 질환
A078000,기타 명시된 원충성 장 질환
A078001,장편모충증
A079,상세불명의 원충성 장 질환
A079000,상세불명의 원충성 장 질환
A079001,편모충성 설사
A079002,원충성 결장염
A079003,원충성 설사
A079004,원충성 이질
A08,바이러스 및 기타 명시된 장 감염
A080,로타바이러스장염
A080000,로타바이러스장염
A081,노워크병원체에 의한 급성 위장병증
A081000,노워크병원체에 의한 급성 위장병증
A081001,소형구형바이러스장염
A081002,노로바이러스장염
A082,아데노바이러스장염
A082000,아데노바이러스장염
A083,기타 바이러스장염
A0830,사포바이러스 위장염
A083000,기타 바이러스장염
A0830000,사포바이러스 위장염
A083001,거대세포바이러스장염
A0831,아스트로바이러스 위장염
A0831000,아스트로바이러스 위장염
A0838,기타 바이러스장염
A0838000,기타 바이러스장염
A0838001,거대세포바이러스장염
A084,상세불명의 바이러스성 장감염
A084000,상세불명의 바이러스성 장감염
A084001,바이러스성 위장염 NOS
A084002,바이러스성 위장병증 NOS
A084003,바이러스성 장염 NOS
A085,기타 명시된 장감염
A085000,기타 명시된 장감염
A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염
A090,감염성 기원의 기타 및 상세불명의 위장염 및 결장염
A090000,감염성 기원의 기타 및 상세불명의 위장염 및 결장염
A090001,장성 카타르
A090002,감염성 또는 패혈성 출혈성 결장염 NOS
A090003,감염성 또는 패혈성 출혈성 위장염 NOS
A090004,감염성 또는 패혈성 출혈성 장염 NOS
A090005,급성 혈액성 설사
A090006,급성 출혈성 설사
A090007,급성 물성 설사
A090008,이질성 설사
A090009,유행 설사
A090010,감염성 설사 NOS
A090011,감염성 결장염
A090012,감염성 위장염
A090013,감염성 장염
A099,상세불명 기원의 위장염 및 결장염
A099000,상세불명 기원의 위장염 및 결장염
A099001,급성 위장염
A099002,주하(注下)
A099003,신생아의 설사 NOS
A15,세균학적 및 조직학적으로 확인된 호흡기 결핵
A150,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵
A520003,매독성 대동맥판기능부전(I39.1*)
A1500,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵
A1500000,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵
A1521003,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴
A1500001,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 기관지 확장증
A1500002,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 폐섬유증
A1500003,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 폐렴
A1500004,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 결핵성 기흉
A1501,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵
A1501000,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵
A1501001,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증
A1501002,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증
A1501003,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 폐렴
A1501004,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 결핵성 기흉
A151,배양만으로 확인된 폐결핵
A1510,배양만으로 확인된 공동이 있는 폐결핵
A151000,배양만으로 확인된 폐결핵
A1510000,배양만으로 확인된 공동이 있는 폐결핵
A1510001,배양만으로 확인된 공동이 있는 결핵성 기관지 확장증
A1510002,배양만으로 확인된 공동이 있는 결핵성 폐섬유증
A1510003,배양만으로 확인된 공동이 있는 결핵성 폐렴
A1510004,배양만으로 확인된 공동이 있는 결핵성 기흉
A151001,배양만으로 확인된 결핵성 기관지 확장증
A151002,배양만으로 확인된 결핵성 폐섬유증
A151003,배양만으로 확인된 결핵성 폐렴
A151004,배양만으로 확인된 결핵성 기흉
A1511,배양만으로 확인된 공동이 없거나 상세불명의 폐결핵
A1511000,배양만으로 확인된 공동이 없거나 상세불명의 폐결핵
A1511001,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증
A1511002,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증
A1511003,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴
A1511004,배양만으로 확인된 공동이 없거나 상세불명의 결핵성 기흉
A152,조직학적으로 확인된 폐결핵
A1520,조직학적으로 확인된 공동이 있는 폐결핵
A1520000,조직학적으로 확인된 공동이 있는 폐결핵
A1520001,조직학적으로 확인된 공동이 있는 결핵성 기관지 확장증
A1520002,조직학적으로 확인된 공동이 있는 결핵성 폐섬유증
A1520003,조직학적으로 확인된 공동이 있는 결핵성 폐렴
A1520004,조직학적으로 확인된 공동이 있는 결핵성 기흉
A1521,조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵
A38001,성홍열
A1521000,조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵
A1521001,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증
A1521002,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증
B179001,급성 간염 NOS
F633000,발모벽
A1521004,조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 기흉
A153,상세불명의 방법으로 확인된 폐결핵
A1530,상세불명의 수단으로 확인된 공동이 있는 폐결핵
A1530000,상세불명의 수단으로 확인된 공동이 있는 폐결핵
A1530001,상세불명의 수단으로 확인된 공동이 있는 결핵성 기관지 확장증
A1530002,상세불명의 수단으로 확인된 공동이 있는 결핵성 폐섬유증
A1530003,상세불명의 수단으로 확인된 공동이 있는 결핵성 폐렴
A1530004,상세불명의 수단으로 확인된 공동이 있는 결핵성 기흉
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵
A1531000,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵
A1531001,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증
A1531002,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증
A1531003,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴
A1531004,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 기흉
A154,세균학적 및 조직학적으로 확인된 흉곽내 림프절의 결핵
A1540,세균학적 및 조직학적으로 확인된 공동이 있는 흉곽내림프절의 결핵
A154000,세균학적 및 조직학적으로 확인된 흉곽내 림프절의 결핵
A1540000,세균학적 및 조직학적으로 확인된 공동이 있는 흉곽내림프절의 결핵
A1540001,세균학적 및 조직학적으로 확인된 공동이 있는 폐문림프절의 결핵
A1540002,세균학적 및 조직학적으로 확인된 공동이 있는 종격림프절의 결핵
A1540003,세균학적 및 조직학적으로 확인된 공동이 있는 기관지림프절의 결핵
A154001,세균학적 및 조직학적으로 확인된 폐문 림프절의 결핵
A154002,세균학적 및 조직학적으로 확인된 종격 림프절의 결핵
A154003,세균학적및 조직학적으로 확인된 기관기관지 림프절의 결핵
A1541,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 흉곽내림프절의 결핵
A1541000,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 흉곽내림프절의 결핵
A1541001,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 폐문림프절의 결핵
A1541002,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 종격림프절의 결핵
A1541003,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의기관지림프절의 결핵
A155,"세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵 "
A1550,"세균학적 및 조직학적으로 확인된 공동이 있는 후두, 기관 및 기관지의 결핵"
A155000,"세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵 "
A1550000,"세균학적 및 조직학적으로 확인된 공동이 있는 후두, 기관 및 기관지의 결핵"
A1550001,세균학적 및 조직학적으로 확인된 공동이 있는 기관지의 결핵
A1550002,세균학적 및 조직학적으로 확인된 공동이 있는 성문의 결핵
A1550003,세균학적 및 조직학적으로 확인된 공동이 있는 후두의 결핵
A1550004,세균학적 및 조직학적으로 확인된 공동이 있는 기관의 결핵
A155001,세균학적 및 조직학적으로 확인된 기관지결핵
A155002,세균학적 및 조직학적으로 확인된 성문결핵
A155003,세균학적 및 조직학적으로 확인된 후두결핵
A155004,세균학적 및 조직학적으로 확인된 기관결핵
A1551,"세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두, 기관 및 기관지의 결핵"
A1551000,"세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두, 기관 및 기관지의 결핵"
A1551001,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기관지의 결핵
A1551002,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 성문의 결핵
A1551003,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두의 결핵
A1551004,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기관의 결핵
A156,세균학적 및 조직학적으로 확인된 결핵성 흉막염
A1560,세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 흉막염
A156000,세균학적 및 조직학적으로 확인된 결핵성 흉막염
A1560000,세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 흉막염
A1560001,세균학적 및 조직학적으로 확인된 공동이 있는 흉막의 결핵
A1560002,세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 농흉
A156001,세균학적 및 조직학적으로 확인된 흉막의 결핵
A156002,세균학적 및 조직학적으로 확인된 결핵성 농흉
A1561,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염
A1561000,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염
A1561001,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 흉막의 결핵
A1561002,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 농흉
A157,세균학적 및 조직학적으로 확인된 일차 호흡기결핵
A1570,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵
A157000,세균학적 및 조직학적으로 확인된 일차 호흡기결핵
A1570000,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵
A1571,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵
A1571000,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵
A158,세균학적 및 조직학적으로 확인된 기타 호흡기결핵
A1580,세균학적 및 조직학적으로 확인된 공동이 있는 기타 호흡기결핵
A158000,세균학적 및 조직학적으로 확인된 기타 호흡기결핵
A1800,척추의 결핵(M49.0*)
A1580000,세균학적 및 조직학적으로 확인된 공동이 있는 기타 호흡기결핵
A1580001,세균학적 및 조직학적으로 확인된 공동이 있는 종격결핵
A1580002,세균학적 및 조직학적으로 확인된 공동이 있는 비인두결핵
A1580003,세균학적 및 조직학적으로 확인된 공동이 있는 코의 결핵
A1580004,세균학적 및 조직학적으로 확인된 공동이 있는 부비동의 결핵
A158001,세균학적 및 조직학적으로 확인된 종격결핵
A158002,세균학적 및 조직학적으로 확인된 비인두결핵
A158003,세균학적 및 조직학적으로 확인된 코의 결핵
A158004,세균학적 및 조직학적으로 확인된 부비동의 결핵
A1581,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵
A1581000,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵
A1581001,세균학적 및 조직학적으로 확인된 공동이 공동이 없거나 상세불명의 종격결핵
A1581002,세균학적 및 조직학적으로 확인된 공동이 공동이 없거나 상세불명의 비인두결핵
A1581003,세균학적 및 조직학적으로 확인된 공동이 공동이 없거나 상세불명의 코의 결핵
A1581004,세균학적 및 조직학적으로 확인된 공동이 공동이 없거나 상세불명의 부비동의 결핵
A159,세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵
A1590,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵
A1590000,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵
A1591,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵
A1591000,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵
A15A19,결핵
A16,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵
A160,세균학적 및 조직학적으로 음성인 폐결핵
A1600,세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵
A160000,세균학적 및 조직학적으로 음성인 폐결핵
A1600000,세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵
A1600001,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 기관지 확장증
A1600002,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 폐섬유증
A1600003,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 폐렴
A1600004,세균학적 및 조직학적으로 음성인 공동이 있는 결핵성 기흉
A160001,세균학적 및 조직학적으로 음성인 결핵성 기관지 확장증
A160002,세균학적 및 조직학적으로 음성인 결핵성 폐섬유증
A160003,세균학적 및 조직학적으로 음성인 결핵성 폐렴
A160004,세균학적 및 조직학적으로 음성인 결핵성 기흉
A1601,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵
A1601000,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵
A1601001,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 기관지 확장증
A1800000,척추의 결핵(M49.0*)
A1601002,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 폐섬유증
A1601003,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 폐렴
A1601004,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 결핵성 기흉
A161,세균학적 및 조직학적 검사를 하지 않은 폐결핵
A1610,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 폐결핵
A161000,노채(勞?)
H532000,복시(複視)
A1610000,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 폐결핵
A1610001,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 기관지확장증
A1610002,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 폐섬유증
A1610003,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 폐렴
A1610004,세균학적 및 조직학적 검사를 하지 않은 공동이 있는 결핵성 기흉
A1611,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵
A1611000,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵
A1611001,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 기관지확장증
A1611002,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 폐섬유증
A1611003,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 폐렴
A1611004,세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 결핵성 기흉
A162,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵
A1620,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵
A1620000,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵
A1620001,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵 NOS
A1620002,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 기관지확장증 NOS
A512,기타 부위의 일차매독
A512000,기타 부위의 일차매독
A513,피부 및 점막의 이차매독
A513000,피부 및 점막의 이차매독
A513001,편평 콘딜로마
A513002,매독성 탈모(L99.8*)
A513003,매독성 백반(L99.8*)
A513004,매독성 점막반
A514,매독성 기타 이차매독
A514000,매독성 기타 이차매독
A514001,이차매독성 여성골반염증질환(N74.2*)
A514002,이차매독성 홍채섬모체염(H22.0*)
A514003,이차매독성 림프절병증
A514004,이차매독성 수막염(G01*)
A514005,이차매독성 근염(M63.0*)
A514006,이차매독성 달리 분류되지 않은 눈병증(H58.8*)
A514007,이차매독성 골막염(M90.1*)
A515,잠복성 조기매독
A515000,잠복성 조기매독
A519,상세불명의 조기매독
A519000,상세불명의 조기매독
A52,만기 매독
A520,심혈관매독
A520000,심혈관매독
A520001,심혈관매독 NOS(I98.0*)
A520002,매독성 대동맥류(I79.0*)
A520004,매독성 대동맥염(I79.1*)
A520005,매독성 대뇌동맥염(I68.1*)
A520006,매독성 심내막염 NOS(I39.8*)
A520007,매독성 심근염(I41.0*)
A520008,매독성 심장막염(I32.0*)
A520009,매독성 폐동맥판역류(I39.3*)
A521,증상성 신경매독
B178000,기타 명시된 급성 바이러스 간염
B178001,달리 분류되지 않은 비A비B형간염(급성)(바이러스성)
B179,상세불명의 급성 바이러스간염
B179000,상세불명의 급성 바이러스간염
B179002,급성 감염성 간염 NOS
B18,만성 바이러스간염
B180,델타-병원체가 있는 만성 바이러스B형간염
B180000,델타-병원체가 있는 만성 바이러스B형간염
B181,델타-병원체가 없는 만성 바이러스B형간염
B1810,델타-병원체가 없는 만성 바이러스B형간염
B181000,델타-병원체가 없는 만성 바이러스B형간염
B1810000,델타-병원체가 없는 만성 바이러스B형간염
B1810001,B형 간염(바이러스성) NOS
B181001,만성(바이러스성)B형 간염
B1818,만성 바이러스B형간염 면역관용기
B1818000,만성 바이러스B형간염 면역관용기
B182,만성 C형바이러스간염
B182000,만성 C형바이러스간염
B188,기타 만성 바이러스 간염
B188000,기타 만성 바이러스 간염
B189,상세불명의 만성 바이러스간염
B189000,상세불명의 만성 바이러스간염
B19,상세불명의 바이러스간염
B190,간성 혼수가 있는 상세불명의 바이러스간염
B190000,간성 혼수가 있는 상세불명의 바이러스간염
B199,간성 혼수가 없는 상세불명의 바이러스간염
B199000,간성 혼수가 없는 상세불명의 바이러스간염
B199001,바이러스간염 NOS
B20,감염성 및 기생충성 질환을 유발한 인체 면역결핍바이러스병
B200,마이코박테리아감염을 유발한 인체면역결핍바이러스병
B200000,마이코박테리아감염을 유발한 인체면역결핍바이러스병
B889000,상세불명의 감염
B889001,감염(피부) NOS
B889002,진드기감염 NOS
B889003,피부기생충 NOS
B89,상세불명의 기생충병
B89000,상세불명의 기생충병
B90,결핵의 후유증
B900,중추신경계통 결핵의 후유증
B900000,중추신경계통 결핵의 후유증
B901,비뇨생식기 결핵의 후유증
B901000,비뇨생식기 결핵의 후유증
B902,골 및 관절 결핵의 후유증
B902000,골 및 관절 결핵의 후유증
B908,기타 기관 결핵의 후유증
B908000,기타 기관 결핵의 후유증
B909,호흡기 및 상세불명 결핵의 후유증
B909000,호흡기 및 상세불명 결핵의 후유증
B909001,결핵의 후유증 NOS
B90B94,감염성 및 기생충 질환의 후유증
B91,회색질척수염의 후유증
B91000,회색질척수염의 후유증
B92,나병의 후유증
B92000,나병의 후유증
B94,기타 및 상세불명의 감염성 및 기생충성 질환의 후유증
B940,트라코마의 후유증
B940000,트라코마의 후유증
B941,바이러스뇌염의 후유증
B941000,바이러스뇌염의 후유증
B942,바이러스간염의 후유증
B942000,바이러스간염의 후유증
B948,기타 명시된 감염성 및 기생충성 질환의 후유증
B948000,기타 명시된 감염성 및 기생충성 질환의 후유증
B949,상세불명의 감염성 또는 기생충성 질환의 후유증
B949000,상세불명의 감염성 또는 기생충성 질환의 후유증
C8173,"기타 고전적 호지킨림프종, 겨드랑 및 팔의 림프절"
C8173000,"기타 고전적 호지킨림프종, 겨드랑 및 팔의 림프절"
C8173001,"고전적 호지킨림프종, 명시되지 않은 형태, 겨드랑 및 팔의 림프절"
C8174,"기타 고전적 호지킨림프종, 사타구니 및 하지의 림프절"
C8174000,"기타 고전적 호지킨림프종, 사타구니 및 하지의 림프절"
C8174001,"고전적 호지킨림프종, 명시되지 않은 형태, 사타구니 및 하지의 림프절"
C8175,"기타 고전적 호지킨림프종, 골반내 림프절 "
C8175000,"기타 고전적 호지킨림프종, 골반내 림프절 "
C8175001,"고전적 호지킨림프종, 명시되지 않은 형태, 골반내 림프절 "
C8176,"기타 고전적 호지킨림프종, 비장"
C8176000,"기타 고전적 호지킨림프종, 비장"
C8176001,"고전적 호지킨림프종, 명시되지 않은 형태, 비장"
C8177,"기타 고전적 호지킨림프종, 다발부위 림프절"
C8177000,"기타 고전적 호지킨림프종, 다발부위 림프절"
C8177001,"고전적 호지킨림프종, 명시되지 않은 형태, 다발부위 림프절"
C8178,"기타 고전적 호지킨림프종, 림프절 외 및 실질기관 "
C8178000,"기타 고전적 호지킨림프종, 림프절 외 및 실질기관 "
C8178001,"고전적 호지킨림프종, 명시되지 않은 형태, 림프절 외 및 실질기관 "
C8179,"기타 고전적 호지킨림프종, 상세불명 부위"
C8179000,"기타 고전적 호지킨림프종, 상세불명 부위"
C8179001,"고전적 호지킨림프종, 명시되지 않은 형태, 상세불명 부위"
C819,상세불명의 호지킨림프종
C8190,"상세불명의 호지킨림프종, 머리, 얼굴 및 목의 림프절"
C819000,상세불명의 호지킨림프종
C8190000,"상세불명의 호지킨림프종, 머리, 얼굴 및 목의 림프절"
C8191,"상세불명의 호지킨림프종, 흉곽내 림프절"
C8191000,"상세불명의 호지킨림프종, 흉곽내 림프절"
C8192,"상세불명의 호지킨림프종, 복강내 림프절"
C8192000,"상세불명의 호지킨림프종, 복강내 림프절"
C8193,"상세불명의 호지킨림프종, 겨드랑 및 팔의 림프절"
C8193000,"상세불명의 호지킨림프종, 겨드랑 및 팔의 림프절"
C8194,"상세불명의 호지킨림프종, 사타구니 및 하지의 림프절"
C8599002,"악성 림프종 NOS, 상세불명 부위"
C8599003,"비호지킨 림프종 NOS, 상세불명 부위"
C86,T/NK-세포 림프종의 기타 명시된 형태
C860,"림프절외 NK/T-세포림프종, 비강형태"
C860000,"림프절외 NK/T-세포림프종, 비강형태"
C861,간비장 T-세포림프종
C861000,간비장 T-세포림프종
C861001,알파-베타 및 감마 델타 형태
